timestamp,heart_rate,rr_intervals,sleep_stage,spo2,activity_level,time_in_bed_min,total_sleep_min
2023-12-01 00:00:00,75.9,"[1065.0590880414577, 1123.730309418324, 1020.6274842204879, 972.0021967649529, 976.6600711667852]",deep,96.6,4.7,480,450
2023-12-01 00:30:00,56.7,"[969.164310841416, 962.0206239832679, 978.267468135194, 986.3032893459186, 1176.1872310423619]",deep,96.1,3.1,480,450
2023-12-01 01:00:00,51.1,"[1020.3452808882518, 947.6113212793866, 826.1114538818482, 970.744925706935, 1034.2448829000348]",deep,95.9,4.4,480,450
2023-12-01 01:30:00,65.9,"[908.4598350989759, 1021.3379983457922, 1011.1126978216837, 972.0203908428261, 1095.9809518832508]",deep,95.9,5.8,480,450
2023-12-01 02:00:00,64.2,"[1012.2510107531263, 1054.3547810969042, 914.1289087308894, 1035.4525271793796, 978.1656186762594]",rem,95.2,5.8,480,450
2023-12-01 02:30:00,66.9,"[1039.1860815517348, 910.1715795439637, 1072.8702617878555, 1016.4179755739209, 1011.7156958976605]",rem,96.4,4.3,480,450
2023-12-01 03:00:00,59.0,"[912.0890277279211, 1015.6238250371755, 1002.1230229102763, 923.569616216178, 980.9175578507566]",rem,96.2,3.9,480,450
2023-12-01 03:30:00,56.8,"[1020.1515866454621, 976.8622216557209, 928.9299599077617, 931.222990907793, 977.7615244114211]",rem,95.6,9.0,480,450
2023-12-01 04:00:00,57.6,"[943.8684845708771, 949.050468676691, 1015.2679938819222, 914.8737418441077, 1077.224399674957]",light,96.1,4.1,480,450
2023-12-01 04:30:00,56.7,"[912.2507575946903, 951.3922809306946, 985.9856641766751, 869.4290060121218, 1019.8762648801022]",light,96.2,8.6,480,450
2023-12-01 05:00:00,51.5,"[1073.3017348755632, 1042.1633760820046, 934.7991113492327, 1036.3698758896135, 942.9815359862121]",light,96.6,4.4,480,450
2023-12-01 05:30:00,60.4,"[1017.8631032809458, 955.1801087780117, 1007.5703986797823, 1034.6707737568731, 1012.7783057487109]",light,96.8,3.7,480,450
2023-12-01 06:00:00,87.3,"[785.1642498241054, 783.2056844964864, 774.7949841816525, 828.2341323729618, 780.304658296]",awake,97.5,16.5,0,0
2023-12-01 06:30:00,84.4,"[924.5347688207374, 748.9390712935713, 806.6949611412767, 819.4981236037944, 785.3202465039665]",awake,98.9,22.4,0,0
2023-12-01 07:00:00,152.5,"[409.24591778437156, 445.87144490527766, 441.6646804400845, 389.03955860557244, 402.47830079217897]",awake,98.6,83.2,0,0
2023-12-01 07:30:00,138.6,"[450.76222220259905, 441.67821181866054, 452.586205941021, 395.6033044428947, 437.25632271218694]",awake,99.0,83.3,0,0
2023-12-01 08:00:00,145.8,"[414.19618803657875, 464.2430371617563, 451.33450842834725, 448.64957699352027, 432.841386268689]",awake,97.8,85.1,0,0
2023-12-01 08:30:00,155.2,"[421.5856242685645, 374.6456653206284, 432.4302878497439, 467.3531746815906, 473.8039672904]",awake,98.4,83.0,0,0
2023-12-01 09:00:00,92.8,"[755.312207519105, 739.0959373791102, 848.3493762616074, 852.5910019429892, 757.743323799862]",awake,98.1,17.6,0,0
2023-12-01 09:30:00,74.9,"[806.7825819861409, 801.1103083658566, 807.4792803767082, 817.3863186434478, 795.1774006118836]",awake,98.5,24.9,0,0
