timestamp,heart_rate,rr_intervals,sleep_stage,spo2,activity_level,time_in_bed_min,total_sleep_min
2024-01-01 00:00:00,54.6,"[1031.2805705374496, 975.9369300636871, 1022.6670885776307, 995.8710785538218, 925.4998337695826]",deep,96.1,0.4,480,450
2024-01-01 00:30:00,73.2,"[961.8290467451344, 1107.887427597585, 1123.3671986890606, 989.7314046045677, 1030.2001998692458]",deep,95.6,2.5,480,450
2024-01-01 01:00:00,63.8,"[1009.6945038624389, 977.8591158719506, 972.6109705046242, 956.6147336680048, 1108.9416996528576]",deep,96.4,7.1,480,450
2024-01-01 01:30:00,63.7,"[993.8345457141529, 894.4541938484753, 973.0719691041724, 896.375242066364, 976.8668139385567]",deep,96.5,3.7,480,450
2024-01-01 02:00:00,61.8,"[1044.2006350967772, 940.9814078679569, 1008.0365323774513, 984.9074462490048, 1010.7660931211844]",rem,96.0,5.1,480,450
2024-01-01 02:30:00,60.5,"[993.6752418905905, 922.0148849032485, 950.7530860330077, 1003.0438968323193, 1023.0646204102347]",rem,96.8,3.3,480,450
2024-01-01 03:00:00,61.0,"[1005.6310633194744, 974.1932127907136, 887.3274494611699, 1068.546266264317, 1029.4391808211608]",rem,96.1,7.2,480,450
2024-01-01 03:30:00,58.7,"[983.6009405782487, 963.8537980122062, 935.363198959774, 1095.4780276621514, 997.8356919122483]",rem,95.7,4.9,480,450
2024-01-01 04:00:00,57.5,"[982.6722546584094, 1002.9022319612988, 994.8881550076889, 997.8815812023578, 994.4131598336413]",light,96.3,4.4,480,450
2024-01-01 04:30:00,70.4,"[1016.6761045449925, 994.8190037679859, 1006.0723183450109, 1023.996436845302, 1057.1431198959335]",light,95.5,2.5,480,450
2024-01-01 05:00:00,64.0,"[979.1536075010824, 1032.3815286979316, 998.7698842582856, 990.2906816822726, 1007.0060764495634]",light,96.1,7.1,480,450
2024-01-01 05:30:00,75.2,"[989.4330577343829, 1034.6367261788882, 959.6083816380376, 977.7889982234561, 969.1829213901625]",light,96.4,4.0,480,450
2024-01-01 06:00:00,63.8,"[787.2062097304594, 825.5093814675897, 849.5195106244402, 762.483277415854, 754.3757751175071]",awake,97.7,4.3,0,0
2024-01-01 06:30:00,73.3,"[799.4368866347382, 757.131400015609, 732.8987994334716, 848.7411431396216, 771.3780285903508]",awake,98.3,13.5,0,0
2024-01-01 07:00:00,135.9,"[393.1267598164984, 416.9683280188293, 428.955589105384, 386.830739331996, 443.41773694732393]",awake,98.3,80.6,0,0
2024-01-01 07:30:00,132.4,"[479.3141335554225, 440.79486817159415, 467.23134836839256, 433.9565100677195, 432.3843019799548]",awake,97.9,93.8,0,0
2024-01-01 08:00:00,133.0,"[437.50531712339426, 391.9440772027457, 399.6091699648095, 441.5744093194184, 460.8920732748099]",awake,97.4,72.6,0,0
2024-01-01 08:30:00,115.3,"[372.3633165056808, 428.2374350321564, 443.5794427275795, 419.9589989378115, 448.9818702825963]",awake,98.1,86.8,0,0
2024-01-01 09:00:00,71.2,"[830.1439237274664, 827.4020350731181, 773.9619297407405, 810.5495715606125, 809.6810033374378]",awake,99.0,19.9,0,0
2024-01-01 09:30:00,79.6,"[860.720508814625, 731.3164655881986, 814.3842371788687, 859.4727404564746, 840.0727154214502]",awake,97.7,22.9,0,0
2024-01-01 10:00:00,76.2,"[839.0957105769996, 823.2981245625192, 824.7666729473107, 809.1967021492583, 796.6805766302083]",awake,98.3,26.6,0,0
2024-01-01 10:30:00,76.2,"[777.7153071105456, 813.7293407919909, 802.340531802769, 766.8479413678855, 814.2760472447001]",awake,97.7,6.2,0,0
2024-01-01 11:00:00,63.1,"[745.2486700185316, 726.8470206448677, 788.8492357684898, 799.6346558977777, 865.7091700023295]",awake,97.5,24.4,0,0
2024-01-01 11:30:00,71.1,"[767.5703426618201, 770.5573155611467, 746.8173713896439, 780.8073684907224, 781.1853610491564]",awake,98.3,0.3,0,0
2024-01-01 12:00:00,74.4,"[799.7773087505522, 856.9631150631748, 775.1486698380261, 827.8464776475923, 808.9888172263188]",awake,97.8,36.7,0,0
2024-01-01 12:30:00,76.2,"[751.2273334157101, 745.8066791193145, 800.7499941996277, 841.3011889376157, 820.147210301467]",awake,97.4,17.2,0,0
2024-01-01 13:00:00,74.1,"[828.393245972372, 831.6164473461845, 733.6684690949612, 769.8633779273939, 777.6251968805227]",awake,97.5,18.7,0,0
2024-01-01 13:30:00,67.9,"[722.9102149820245, 825.6197486970233, 819.216088717753, 896.0093785944948, 726.8685333507087]",awake,97.8,26.2,0,0
2024-01-01 14:00:00,79.8,"[821.9353676630219, 776.257983360762, 798.9450183925899, 759.1275307949253, 797.0165590013546]",awake,97.7,16.4,0,0
2024-01-01 14:30:00,71.6,"[755.8289330337267, 816.9123473866571, 739.9074645383097, 794.6117672471084, 833.6468731554553]",awake,98.4,13.8,0,0
2024-01-01 15:00:00,68.9,"[867.8117936695533, 804.7726621773115, 797.2422338506095, 920.8286584032405, 745.5249090406696]",awake,97.5,19.6,0,0
2024-01-01 15:30:00,89.5,"[811.992188841025, 813.3824625099198, 831.9034021690301, 816.8996047329878, 792.0804379959441]",awake,99.0,25.6,0,0
2024-01-01 16:00:00,74.7,"[772.6420623475385, 738.3682130022347, 784.9580167563764, 817.4824361709224, 781.4501315362794]",awake,97.8,26.6,0,0
2024-01-01 16:30:00,80.3,"[841.0958670548574, 814.2641968993855, 759.3457481532872, 808.838080708252, 799.9084438853089]",awake,98.8,24.0,0,0
