timestamp,heart_rate,rr_intervals,sleep_stage,spo2,activity_level,time_in_bed_min,total_sleep_min
2023-12-01 00:00:00,61.0,"[np.float64(1002.8), np.float64(989.8), np.float64(1096.9), np.float64(1046.2), np.float64(987.6)]",deep,96.3,6.4,480,450
2023-12-01 00:30:00,55.2,"[np.float64(1008.6), np.float64(1064.2), np.float64(1063.8), np.float64(1068.4), np.float64(997.4)]",deep,97.0,2.9,480,450
2023-12-01 01:00:00,57.8,"[np.float64(995.0), np.float64(1016.6), np.float64(946.1), np.float64(1002.1), np.float64(943.6)]",deep,96.3,1.5,480,450
2023-12-01 01:30:00,63.4,"[np.float64(1162.8), np.float64(935.4), np.float64(1054.6), np.float64(1017.6), np.float64(962.7)]",deep,96.2,6.9,480,450
2023-12-01 02:00:00,53.7,"[np.float64(1040.2), np.float64(975.0), np.float64(959.5), np.float64(1012.5), np.float64(1004.7)]",rem,96.8,5.1,480,450
2023-12-01 02:30:00,50.8,"[np.float64(976.3), np.float64(991.3), np.float64(1032.2), np.float64(1051.9), np.float64(1054.2)]",rem,96.2,5.3,480,450
2023-12-01 03:00:00,54.3,"[np.float64(945.7), np.float64(1041.8), np.float64(1002.1), np.float64(1095.5), np.float64(1042.0)]",rem,96.0,6.0,480,450
2023-12-01 03:30:00,60.6,"[np.float64(1016.4), np.float64(1001.7), np.float64(923.2), np.float64(962.7), np.float64(988.3)]",rem,96.2,4.2,480,450
2023-12-01 04:00:00,66.3,"[np.float64(948.0), np.float64(1053.9), np.float64(1048.9), np.float64(1005.9), np.float64(1028.5)]",light,96.3,2.4,480,450
2023-12-01 04:30:00,56.8,"[np.float64(987.5), np.float64(958.7), np.float64(1021.9), np.float64(1053.2), np.float64(1137.6)]",light,96.3,4.0,480,450
2023-12-01 05:00:00,54.4,"[np.float64(977.4), np.float64(999.9), np.float64(1051.5), np.float64(1005.4), np.float64(1027.8)]",light,96.3,1.8,480,450
2023-12-01 05:30:00,62.5,"[np.float64(1006.6), np.float64(1010.5), np.float64(886.7), np.float64(996.8), np.float64(945.3)]",light,95.4,7.7,480,450
2023-12-01 06:00:00,66.1,"[np.float64(854.8), np.float64(857.0), np.float64(848.1), np.float64(853.3), np.float64(768.6)]",awake,98.7,12.8,0,0
2023-12-01 06:30:00,84.9,"[np.float64(811.2), np.float64(807.1), np.float64(749.8), np.float64(768.5), np.float64(826.1)]",awake,97.6,8.9,0,0
2023-12-01 07:00:00,117.2,"[np.float64(427.7), np.float64(419.5), np.float64(424.5), np.float64(452.5), np.float64(426.1)]",awake,97.8,79.1,0,0
2023-12-01 07:30:00,135.4,"[np.float64(399.3), np.float64(438.5), np.float64(482.8), np.float64(453.6), np.float64(396.3)]",awake,97.7,86.9,0,0
2023-12-01 08:00:00,155.6,"[np.float64(424.4), np.float64(426.3), np.float64(435.6), np.float64(474.3), np.float64(482.2)]",awake,98.6,84.4,0,0
2023-12-01 08:30:00,147.2,"[np.float64(420.4), np.float64(483.6), np.float64(366.5), np.float64(441.8), np.float64(486.7)]",awake,97.8,80.0,0,0
